,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-37887.1,3.86472,121.487,122.461,-38083.4,-37887.8,-37687.3,986.779,1364.36,1.16802,1.00009
beta_c[1],0.887001,0.000507936,0.0381723,0.0382685,0.825145,0.886251,0.949944,5668.28,2925.28,6.70936,1.00095
beta_c[2],1.16069,0.00141827,0.109934,0.109992,0.987076,1.15744,1.34389,6050.98,3102.24,7.16234,1.00152
beta_c[3],1.01827,0.000593598,0.0470657,0.0473373,0.941639,1.01824,1.09537,6305.14,2656.05,7.46319,1.00052
beta_c[4],1.06698,0.000734632,0.0605598,0.059855,0.966696,1.06634,1.16797,6874.77,2847.18,8.13744,1.00122
beta_c[5],0.89889,0.001403,0.112071,0.111686,0.720455,0.896563,1.08338,6489.29,2606.95,7.68116,1.0029
beta_c[6],1.2057,0.000931561,0.0726533,0.0712002,1.08709,1.20451,1.32706,6126.2,2812.01,7.25138,1.00001
beta_c[7],1.36563,0.00147678,0.113879,0.113318,1.18447,1.36346,1.5547,6040.14,2652.15,7.14951,1.00255
beta_c[8],0.776576,0.000705954,0.0583164,0.0591011,0.681571,0.776537,0.871667,6881.4,2625.13,8.14529,1.00007
beta_c[9],0.786706,0.000801151,0.061492,0.0619941,0.688903,0.786078,0.890669,5969.89,2808.08,7.06636,1.00419
beta_c[10],0.975659,0.00116878,0.0972473,0.0969008,0.82077,0.973737,1.13793,7081.92,2818.62,8.38264,1.00581
beta_c[11],0.972087,0.00104263,0.0837068,0.08266,0.836592,0.971135,1.11149,6542.66,2949.5,7.74434,0.999682
beta_c[12],0.962813,0.00511431,0.362443,0.353193,0.402023,0.937443,1.59226,5444.77,2394.47,6.4448,0.99989
beta_c[13],0.580284,0.00443434,0.333,0.326405,0.0521896,0.572912,1.14562,5824.99,2523.48,6.89485,1.00136
beta_c[14],0.995317,0.00109989,0.0846308,0.0845718,0.856694,0.994167,1.13488,5975.99,2769.8,7.07358,1.00247
beta_c[15],0.921705,0.00248227,0.181989,0.185599,0.631524,0.917058,1.22788,5588.25,2757.3,6.61463,1.00229
beta_c[16],0.506303,0.00442293,0.352679,0.347066,-0.0514206,0.495561,1.09862,6836.64,2669.38,8.09231,1.00176
beta_c[17],1.29322,0.00186834,0.144047,0.14458,1.06604,1.29112,1.5383,5996.5,2629.47,7.09787,1.00026
beta_c[18],1.04153,0.000410278,0.0330141,0.0331087,0.987194,1.04149,1.09531,6658.75,2570.28,7.88174,1.00552
beta_c[19],1.20892,0.000861129,0.0689152,0.0705855,1.09871,1.20762,1.32497,6518.7,2979.63,7.71597,1.00093
beta_c[20],1.1811,0.00195838,0.155285,0.155524,0.933128,1.17757,1.44537,6517.6,2760.11,7.71467,1.00137
beta_c[21],1.01817,0.00681222,0.495019,0.481311,0.254122,0.988588,1.88044,5727.43,2329.18,6.77937,1.00222
beta_c[22],0.869895,0.000879473,0.0635905,0.064992,0.767197,0.868534,0.976636,5396.35,2761.02,6.38748,1.00016
beta_c[23],0.69176,0.00150179,0.116189,0.112992,0.504067,0.689691,0.883587,6086.51,2788.25,7.2044,1.00041
beta_c[24],1.05311,0.00108145,0.0857965,0.0857181,0.915712,1.05069,1.19547,6335.18,2893.65,7.49874,1.00084
beta_c[25],0.206008,0.00885894,0.648111,0.621644,-0.827861,0.182751,1.3108,5429.49,2981.97,6.42671,1.0009
beta_c[26],0.883302,0.00332553,0.27079,0.272018,0.455875,0.87437,1.33873,6937.98,2664.06,8.21225,1.00007
beta_c[27],1.132,0.00152884,0.132362,0.131625,0.918977,1.13034,1.35078,7565.63,2871.29,8.95519,1.00057
beta_c[28],0.25045,0.00742704,0.629112,0.601254,-0.756691,0.225176,1.3204,7346.11,2867.19,8.69535,1.00117
beta_c[29],0.750859,0.00182498,0.154812,0.160092,0.505869,0.749491,1.00326,7293.32,3218.09,8.63286,1.00168
beta_c[30],1.03042,0.000667827,0.0535529,0.0554031,0.943454,1.03033,1.1198,6481.2,2929.1,7.67159,1.00023
beta_c[31],0.996469,0.00142151,0.114263,0.116356,0.810473,0.995449,1.18434,6531.27,2827.4,7.73085,1.00059
beta_c[32],1.07581,0.00105263,0.08505,0.0876183,0.940017,1.07445,1.2164,6722.45,2891.4,7.95714,1.00064
beta_c[33],0.572535,0.00762212,0.573512,0.537987,-0.322506,0.554007,1.54177,5811.26,2689.42,6.8786,1.00022
beta_c[34],0.817372,0.00190477,0.153719,0.155846,0.564721,0.814445,1.0776,6591.41,2790.12,7.80204,1.00204
beta_c[35],0.98837,0.000942523,0.080675,0.0815109,0.858272,0.987706,1.12231,7493.31,2563.66,8.86958,1.00093
beta_c[36],0.864256,0.00218972,0.17315,0.170463,0.581475,0.860657,1.16154,6412.91,2866.52,7.59075,1.0034
beta_c[37],0.608886,0.00127762,0.102043,0.103475,0.444163,0.607719,0.780462,6597.39,2556.67,7.80912,1.001
beta_c[38],1.03186,0.00125447,0.097057,0.0983369,0.876745,1.0295,1.19262,6136.99,2460.43,7.26415,1.00311
beta_c[39],1.33135,0.00671098,0.483199,0.465527,0.59331,1.29722,2.18078,5960.71,2243.0,7.0555,1.00262
beta_c[40],1.25542,0.00156522,0.113331,0.114559,1.07459,1.25454,1.44348,5538.75,2669.97,6.55604,1.00494
beta_c[41],0.988537,0.00392101,0.306609,0.313078,0.509508,0.975891,1.52131,6353.73,2821.69,7.5207,1.00158
beta_c[42],0.717851,0.0030927,0.249813,0.238793,0.321355,0.705974,1.14411,6862.26,2599.14,8.12263,1.00374
beta_c[43],0.971158,0.00154828,0.116992,0.110555,0.782885,0.967507,1.17093,6121.12,2348.51,7.24536,1.00289
beta_c[44],1.22376,0.0034455,0.258568,0.265498,0.828825,1.21198,1.65985,5973.92,2446.98,7.07113,1.00134
beta_c[45],1.06594,0.00360776,0.277338,0.275584,0.638577,1.05477,1.54768,6469.42,2554.55,7.65764,0.999567
beta_c[46],1.37029,0.00172078,0.140348,0.136857,1.14366,1.36706,1.60877,6850.57,3074.25,8.10879,1.00333
beta_c[47],1.17803,0.00122157,0.0985208,0.0989093,1.01769,1.17569,1.34438,6546.42,3194.73,7.74879,1.00254
alpha_user_raw[1],-0.0823829,0.00823037,0.670891,0.669022,-1.18876,-0.0853691,1.01476,6772.84,2634.03,8.01679,1.00585
alpha_user_raw[2],0.227114,0.0120992,0.952543,0.946922,-1.31295,0.234387,1.7853,6277.86,2719.15,7.4309,1.00024
alpha_user_raw[3],0.175856,0.0114246,0.920041,0.919882,-1.34803,0.162335,1.68826,6609.54,2362.8,7.82349,1.00135
alpha_user_raw[4],0.15922,0.0108906,0.914948,0.897247,-1.33056,0.153716,1.68943,7143.35,2642.08,8.45535,1.00048
alpha_user_raw[5],0.222492,0.0121116,0.950586,0.945816,-1.37052,0.229194,1.75954,6182.46,2854.9,7.31798,1.00036
alpha_user_raw[6],0.317084,0.0113178,0.898276,0.906119,-1.15966,0.317798,1.82402,6398.24,2745.1,7.57338,1.00097
alpha_user_raw[7],0.21619,0.0130374,0.978955,0.947308,-1.42427,0.210897,1.84937,5646.17,2860.04,6.68318,1.00216
alpha_user_raw[8],-0.237375,0.0120825,0.976886,0.975692,-1.84442,-0.236149,1.39029,6521.69,2669.19,7.71951,1.00039
alpha_user_raw[9],-0.240606,0.0115183,0.972979,0.948421,-1.86096,-0.245609,1.39826,7218.57,3001.58,8.54438,1.00492
alpha_user_raw[10],-0.42341,0.0107082,0.878241,0.834708,-1.91844,-0.420436,1.04195,6784.22,2793.89,8.03026,0.999888
alpha_user_raw[11],0.227646,0.0118259,0.962922,0.942764,-1.34791,0.23199,1.80326,6730.9,2624.7,7.96714,1.00066
alpha_user_raw[12],0.792797,0.0108984,0.917927,0.884652,-0.726385,0.791728,2.29891,7160.68,2244.01,8.47586,1.00083
alpha_user_raw[13],0.249696,0.0129911,0.970928,0.945337,-1.36167,0.25876,1.83758,5671.7,2496.12,6.7134,1.00142
alpha_user_raw[14],-0.234571,0.0115173,0.982853,0.973763,-1.86814,-0.223255,1.34386,7328.96,2914.99,8.67504,0.999671
alpha_user_raw[15],-0.216452,0.0100892,0.86668,0.847409,-1.62674,-0.21334,1.21883,7395.57,2775.05,8.7539,0.99992
alpha_user_raw[16],-0.254229,0.0117184,0.970522,0.983148,-1.84585,-0.252693,1.32626,6905.84,2935.71,8.17422,1.00198
alpha_user_raw[17],0.134252,0.0120196,0.967114,0.939092,-1.42893,0.127129,1.75426,6654.21,2534.73,7.87637,1.00227
alpha_user_raw[18],0.439511,0.0116532,0.960852,0.956118,-1.14059,0.43907,2.03198,6972.3,2997.73,8.25288,1.00008
alpha_user_raw[19],-0.239382,0.0118008,0.956471,0.943026,-1.84821,-0.231104,1.36022,6611.83,2530.13,7.8262,1.00375
alpha_user_raw[20],-0.119879,0.0114677,0.92203,0.937392,-1.61608,-0.119068,1.39611,6560.06,2270.5,7.76493,1.00164
alpha_user_raw[21],0.23576,0.0120606,0.956491,0.947349,-1.30415,0.23567,1.78366,6324.74,2449.36,7.48639,1.00117
alpha_user_raw[22],0.217495,0.0121464,0.997419,0.984812,-1.44619,0.223663,1.89558,6794.55,2634.37,8.04248,1.00015
alpha_user_raw[23],-1.28162,0.00275106,0.184375,0.180322,-1.59084,-1.28062,-0.977416,4564.94,2363.9,5.40337,1.00053
