topic,mean_raw_prior,ci_width_raw_prior,mean_std_prior_rescaled,ci_width_std_prior_rescaled,credible_raw_prior,credible_std_prior
affirmative action,-0.0889357,2.95859,-0.3957533149811429,6.435832043238014,False,False
animal rights,-0.163021,3.17446,-4.326663666413486,17.94429685922286,False,False
barack obama,-0.640399,3.197507,-8.636353016384449,11.734428708363422,False,True
border fence,0.232367,3.12709,2.1902711349044646,10.409638332909141,False,False
capitalism,-0.113804,3.22985,-3.7604927914743294,19.872415599224126,False,False
civil unions,0.111323,3.17994,3.2100350889849785,16.376173863119643,False,False
death penalty,-0.142748,3.27902,-8.593308565049997,24.388674492064037,False,False
drug legalization,-0.711258,3.065942,-5.675391431320277,8.803252520223783,False,True
electoral college,0.0639666,3.1284799999999997,1.5574349224969832,10.437315330803376,False,False
environmental protection,-0.0665592,3.26809,-1.9673359358211413,24.346603897094617,False,False
estate tax,-0.134484,3.2283,-1.6612674881367875,15.126277911418212,False,False
european union,-0.0222358,3.3605,-19.80000937848394,107.51637211181384,False,False
euthanasia,0.000647679,3.30572,6.286340221923643,65.84004289177764,False,False
federal reserve,-0.217648,3.25239,-6.602843540559324,21.089185826668967,False,False
flat tax,0.0130275,3.2555699999999996,0.18415526477134964,51.93235144992505,False,False
free trade,-0.0803453,3.30616,-43.83030472821588,109.31513351084777,False,False
gay marriage,0.0663035,3.28315,4.420163616020291,37.94392731541123,False,False
global warming exists,0.0105488,2.8530100000000003,0.6173372883579832,6.333864412537247,False,False
globalization,0.276911,3.1317899999999996,4.178462204782785,11.863469546012105,False,False
gold standard,-0.0694317,3.29939,-3.3563083150129143,30.19670516030179,False,False
gun rights,-0.0586426,3.3252,-23.736288113128523,74.29097365625984,False,False
homeschooling,-0.173472,3.1688799999999997,-1.971591688136335,10.912586452630364,False,False
internet censorship,-0.055534,3.3192500000000003,-1.172795743281778,29.725650836535394,False,False
iran-iraq war,-0.197198,3.23945,-8.044394424899222,21.301574161318985,False,False
labor union,-5.01469e-05,3.27828,0.4098557290031838,154.10546584371306,False,False
legalized prostitution,-0.0775572,3.2328799999999998,-24.991540274837632,64.48014986364575,False,False
medicaid & medicare,-0.0343257,3.23977,1.1805135549746635,33.62131976075811,False,False
medical marijuana,-0.0278,3.21729,-25.654687766606763,146.40946853340435,False,False
military intervention,0.0374574,3.1637399999999998,4.044206366299354,20.687825533666146,False,False
minimum wage,0.0989313,3.24468,2.9569687739675383,14.800264885377985,False,False
national health care,-0.00332621,3.26748,1.9755601528238438,18.211795725570088,False,False
occupy movement,-0.0535231,3.1676599999999997,-0.7476051850266043,13.603361327779819,False,False
progressive tax,0.00855478,3.37845,12.697285365753244,159.0765156590233,False,False
racial profiling,-0.409289,3.30095,-32.57169737052569,37.64992007880781,False,True
redistribution,-0.189306,3.3113099999999998,-3.577222762138795,13.277358040303243,False,False
smoking ban,-0.00725451,3.3224,-4.912861897499543,57.35454022633678,False,False
social programs,0.254276,3.21873,11.798318555191404,22.8451998005598,False,True
social security,-0.0991246,3.07913,-2.38052858365911,16.08538035252083,False,False
socialism,0.0220025,3.24737,12.25958562248922,99.47572703391998,False,False
stimulus spending,-0.145037,3.15139,-6.724965128734446,23.831726036901742,False,False
term limits,-0.0199877,3.15701,-13.571175374915484,153.0809689476985,False,False
torture,-0.237422,3.21054,-16.86032655499573,39.75775427241225,False,False
united nations,-0.0994371,3.28252,-15.821221813505666,38.82731242413255,False,False
war in afghanistan,-0.0218001,3.21342,-5.986830696857786,51.747659590296564,False,False
war on terror,-0.0326366,3.27994,-11.080829878253441,54.92778755031139,False,False
welfare,-0.0618691,3.27339,-1.8601630428492744,25.812111648014323,False,False
,-0.245339,3.24632,-4.829300152097898,16.961953335968733,False,False
