,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-37232.7,3.46123,118.299,119.817,-37424.2,-37233.3,-37036.6,1177.76,1756.43,1.11081,1.00047
beta_D[1],0.0933221,0.000592461,0.043008,0.042668,0.0240191,0.0926749,0.16537,5344.59,2949.51,5.04075,0.999592
beta_D[2],0.00994678,0.0012979,0.0994164,0.0990916,-0.15059,0.0105191,0.171591,5887.98,2491.23,5.55326,1.00154
beta_D[3],-0.0329228,0.000660084,0.0469451,0.0476109,-0.110273,-0.0323724,0.0439554,5083.13,2375.78,4.79416,1.00024
beta_D[4],0.0976511,0.00081765,0.0582105,0.0570655,0.000504102,0.0979783,0.191412,5091.06,2887.66,4.80164,0.999869
beta_D[5],0.123546,0.00180145,0.122771,0.121353,-0.0760529,0.123572,0.329182,4747.18,2594.54,4.4773,1.00025
beta_D[6],-0.0124509,0.000932513,0.0685448,0.0686658,-0.125281,-0.0112599,0.097987,5541.69,2580.39,5.22665,1.00208
beta_D[7],-0.114406,0.00183691,0.133803,0.134222,-0.332142,-0.112991,0.107528,5331.86,2890.14,5.02875,1.00095
beta_D[8],-0.0195456,0.000779956,0.0562925,0.0575984,-0.112036,-0.0203966,0.0734542,5247.64,2820.5,4.94931,1.00176
beta_D[9],-0.0111905,0.000915855,0.0616014,0.0608155,-0.113475,-0.0115519,0.0882147,4541.09,2775.74,4.28293,1.00019
beta_D[10],0.0503855,0.00134621,0.094445,0.0933802,-0.105791,0.0503687,0.204681,4964.05,2648.9,4.68184,1.00028
beta_D[11],-0.0290604,0.0013337,0.090886,0.0882568,-0.178973,-0.0287371,0.116438,4655.97,3184.62,4.39128,1.00074
beta_D[12],-0.0399986,0.00953644,0.552048,0.545086,-0.951098,-0.0432042,0.87172,3387.54,3089.15,3.19496,1.00067
beta_D[13],-0.0733506,0.00534068,0.358976,0.342997,-0.679739,-0.0648145,0.508541,4568.12,2877.69,4.30842,1.00141
beta_D[14],-0.0109293,0.00178264,0.117397,0.120065,-0.202897,-0.0110541,0.176744,4426.28,3086.17,4.17464,1.00176
beta_D[15],0.328549,0.00347477,0.225518,0.225322,-0.0285997,0.324453,0.711729,4300.26,2806.4,4.05579,1.00064
beta_D[16],0.193432,0.0066534,0.465803,0.458593,-0.565292,0.192272,0.981822,4945.89,2773.54,4.66472,1.00123
beta_D[17],0.234726,0.00187661,0.133031,0.131788,0.0202387,0.232334,0.461051,5254.84,2441.03,4.9561,1.00097
beta_D[18],-0.0603035,0.000546775,0.0393353,0.0396086,-0.126709,-0.0609453,0.00466949,5122.25,2833.41,4.83106,1.00079
beta_D[19],0.0387033,0.000922103,0.0684415,0.0668231,-0.0734238,0.0392262,0.151162,5530.87,2309.12,5.21645,0.999874
beta_D[20],0.224935,0.00195552,0.132155,0.132813,0.00909113,0.222341,0.447405,4698.59,2799.51,4.43148,0.999916
beta_D[21],-0.50436,0.00780673,0.445688,0.41861,-1.31152,-0.469593,0.166464,3696.62,2249.02,3.48647,1.00086
beta_D[22],0.0432446,0.000843915,0.0607457,0.0607228,-0.055723,0.0429461,0.14547,5181.21,3041.65,4.88666,1.00061
beta_D[23],-0.0150343,0.00160524,0.117605,0.114851,-0.207302,-0.0168448,0.17917,5353.6,2651.14,5.04925,1.00058
beta_D[24],0.04923,0.00108424,0.0845682,0.085952,-0.0865413,0.0495698,0.187284,6118.36,2714.51,5.77054,0.999971
beta_D[25],0.991041,0.0100275,0.647191,0.616218,0.0452965,0.941179,2.13537,4698.86,2377.97,4.43173,1.00035
beta_D[26],0.152204,0.00657733,0.397837,0.381844,-0.490125,0.148254,0.812113,3755.55,2922.15,3.54205,1.00048
beta_D[27],0.107732,0.00171014,0.129454,0.12447,-0.102524,0.109017,0.321929,5762.65,2735.71,5.43505,1.00189
beta_D[28],-0.165015,0.0115386,0.787149,0.779132,-1.46944,-0.166684,1.1207,4661.53,2969.12,4.39652,1.00201
beta_D[29],0.107965,0.00217411,0.151844,0.153801,-0.132836,0.105545,0.359597,5011.33,3065.14,4.72644,1.00092
beta_D[30],0.0611663,0.000788434,0.0555825,0.0550897,-0.0329762,0.0614556,0.151631,4978.85,3031.73,4.69581,1.00336
beta_D[31],0.137398,0.00151491,0.106893,0.106485,-0.0347038,0.135784,0.315896,5118.05,2810.39,4.82709,1.00166
beta_D[32],0.0520471,0.00107225,0.0781052,0.0793334,-0.0733502,0.0516715,0.179867,5352.39,2685.54,5.04811,1.00051
beta_D[33],-0.350145,0.0132678,0.92964,0.93158,-1.88312,-0.349611,1.1742,4965.44,3009.4,4.68316,1.00125
beta_D[34],0.0375296,0.00262338,0.183625,0.191184,-0.262368,0.0366214,0.334782,4937.74,3033.92,4.65703,1.00251
beta_D[35],-0.0532476,0.00107935,0.0736236,0.0751629,-0.173791,-0.0530619,0.0672236,4937.06,2665.73,4.65639,1.00175
