topic_idx,mean_delta,ci_5,ci_95,p_tau_gt_phi,OR_tau,OR_phi,OR_tau_ci_5,OR_tau_ci_95,OR_phi_ci_5,OR_phi_ci_95,topic,tau_strong,phi_strong,conviction_leads,conviction_clear,conformity_clear,clear_direction,class
0,-1.8978270156,-2.4451318850000003,-1.3653258950000002,0.0,6.645083017545671,45.845953604366656,5.2166355585438104,8.351458214329654,27.222297491539415,70.7137028439559,abortion,True,True,False,False,True,True,conformity-driven
1,0.44768606968051994,-0.72550462,1.649024551999999,0.73,6.5390406668189005,4.381964944303408,2.8310992599387954,12.386826036367738,1.5518502518041457,9.22552143295713,affirmative action,True,False,True,False,False,False,conviction-only
2,-0.2317716410506975,-0.8174206645,0.3280225355499997,0.25575,1.8078373193744046,2.3323640197699724,1.2868188893863457,2.4485160598633477,1.3988426407962695,3.5926372946861673,animal rights,False,False,False,False,False,False,indeterminate
3,-4.036006556057071,-4.8155895814,-3.2805255645,0.0,1.3154190771749932,75.77945925946818,0.752824786549678,2.099084895925024,39.71179714643507,130.64606792145085,barack obama,False,True,False,False,True,True,conformity-only
4,-1.0293239129826075,-2.117105145,0.10633943499999908,0.06425,2.1312558552576903,6.506794922576681,1.0115730966882215,3.813685152719093,2.112193624468431,14.083186293631343,border fence,False,False,False,False,False,False,indeterminate
5,-0.940944481905,-1.7481889704999998,-0.16856477500000006,0.021,5.296407273389552,13.905456829458554,3.094714820957276,8.260862324090253,7.080203440893878,23.957326597459556,capitalism,True,True,False,False,True,True,conformity-driven
6,-1.7566714119278377,-2.8624721195,-0.6342952850000001,0.00525,1.3336828679693877,8.097032458745659,0.5802358766959945,2.5245479240599367,2.8510500174962474,16.915857169631643,civil unions,False,True,False,False,True,True,conformity-only
7,0.022254768341165004,-0.7105624269999998,0.7675002345999998,0.5205,2.002383931308245,2.06582228073447,1.3653020395864812,2.808164585347003,1.0190908580299274,3.660557015046067,death penalty,False,False,True,False,False,False,indeterminate
8,2.169951397625751,1.3226959699999998,3.0070288149999995,1.0,18.19200322034721,2.210589667547107,11.401083445917791,26.998455775537472,0.9676277320704615,4.126692380161503,drug legalization,True,False,True,True,False,True,conviction-only
9,-1.1098209058444293,-2.3626490684999997,0.14846632347999963,0.07125,0.7607765605998663,2.3799125424334595,0.28947037178176743,1.5525353763116785,0.8258109753959936,5.082007515568478,electoral college,False,False,False,False,False,False,indeterminate
10,-0.704134065618195,-1.7121969374999997,0.31061193599999964,0.1295,2.6718240580226547,5.818581474960558,1.4398357298600344,4.42274281919795,2.184004530290471,12.064125391220676,environmental protection,False,False,False,False,False,False,indeterminate
11,0.3710956473852675,-1.8157759274999998,2.5464339669999996,0.6065,2.765368075064319,1.8982557936010636,0.3935826362004152,8.224578724870769,0.26468590054420366,5.614004327730348,estate tax,False,False,True,False,False,False,indeterminate
12,0.4124088742347925,-1.631284025,2.4130360334999996,0.63075,2.0375174875861806,1.4956132909656508,0.4019869012211143,5.441251191988855,0.2174659669436289,4.346839329144825,european union,False,False,True,False,False,False,indeterminate
13,-0.6811532677850001,-1.7100181050000003,0.347545915,0.147,9.946892066573,21.176190769891072,5.17203062405737,17.029581208178396,7.81756966420532,43.91928339674293,euthanasia,True,True,False,False,False,False,jointly-driven
14,0.11383162489149498,-1.56933865585,1.7884062494999997,0.54,2.4747804502672435,2.2601094169458316,0.5998290946983976,6.1333969398020125,0.53875720338682,5.766151881671893,federal reserve,False,False,True,False,False,False,indeterminate
15,0.6696115290179899,-1.4576253965000001,2.6845653799999996,0.7,2.6615292010523524,1.4458525416636705,0.45577400656664147,7.600766363644621,0.20692677263163634,4.283697564959979,flat tax,False,False,True,False,False,False,indeterminate
16,-0.5962137404318725,-2.0604389195,0.8330307211499997,0.24125,1.4005390542176501,2.4714338918408725,0.38579207517272274,3.3472887376499307,0.7444820531229059,5.713897505933188,free trade,False,False,False,False,False,False,indeterminate
17,0.45044293655,-0.0997670200000001,0.99550999,0.90525,67.84722986524581,44.12853495550225,50.48235387847495,88.81809578467964,27.39791130761315,65.92681836259702,gay marriage,True,True,True,False,False,False,jointly-driven
18,-2.260554063972575,-3.072542078,-1.4833473200000005,0.0,3.4105367901179524,33.74764406184877,2.0524039184889116,5.278941893900215,16.85382696987784,60.13569503394126,global warming exists,False,True,False,False,True,True,conformity-only
19,-0.4254908782667335,-1.9968973595,1.1769442074999987,0.327,2.1956409981522325,3.307526689366037,0.5965787812879632,5.2073050883604575,0.9454315892685262,7.800863526786023,globalization,False,False,False,False,False,False,indeterminate
20,1.390812720772255,-0.7844382594999999,3.5308000669999995,0.861,7.606780730080414,2.0285294429528564,1.1206325674657711,21.983519515377292,0.26354952490768685,5.897631354781278,gold standard,False,False,True,False,False,False,indeterminate
