topic,mean_raw_prior,ci_width_raw_prior,mean_std_prior_rescaled,ci_width_std_prior_rescaled,credible_raw_prior,credible_std_prior
affirmative action,0.758449,1.139051,0.784821356807428,1.2082308598614566,True,True
animal rights,0.110997,2.067594,0.07091854411823799,2.756585324916531,False,False
barack obama,-0.145478,1.173486,-0.360023432225317,1.3220708467144577,False,False
border fence,0.683693,1.4582238,0.7399026146084264,1.5917191448338497,False,False
capitalism,0.734377,2.213136,1.1683721427870213,3.1835703439819256,False,False
civil unions,-0.144027,1.647916,-0.16572375666684522,1.8430198271130638,False,False
death penalty,-0.567202,2.434881,-1.2248963258858336,3.5016466968470756,False,False
drug legalization,-0.178037,1.44493,-0.10913169518221559,1.5090202627801363,False,False
electoral college,-0.0342358,1.4833129999999999,-0.15025453700031438,1.677569347064444,False,False
environmental protection,0.184671,2.00943,0.3705489897143972,2.6729714951142487,False,False
estate tax,-0.290764,1.944436,-0.6294292193844705,2.356771935540074,False,False
european union,0.0427351,3.1725399999999997,-2.0324816249914623,12.621527443247778,False,False
euthanasia,-0.158968,3.1059400000000004,-0.4605742415952457,8.806303760824017,False,False
federal reserve,-0.288227,2.255625,-0.6959967589718162,3.0371725334485062,False,False
flat tax,0.463821,2.94826,2.785429231201514,6.295026514564002,False,False
free trade,0.322767,2.9682,2.560425605279168,10.675374783491293,False,False
gay marriage,0.769977,2.406563,1.8518105188451497,3.589064272713817,False,True
global warming exists,-0.476051,1.013892,-0.6548025126179876,1.0733071411436044,False,True
globalization,0.22916,1.687453,0.16015772902982242,1.9973505934123317,False,False
gold standard,0.865726,2.3171600000000003,1.857857865945241,3.3438444359588635,False,True
gun rights,-0.207322,2.93093,-2.409224297027323,8.965729813746977,False,False
homeschooling,0.341841,1.4825339999999998,0.35460462134714493,1.7267750060196763,False,False
internet censorship,0.0108494,2.22067,-0.26441540349536097,3.27438280883076,False,False
iran-iraq war,0.310745,1.795499,0.6985426392087061,2.2543161236798688,False,False
labor union,0.316099,3.1393500000000003,7.881244777380464,17.607957411450805,False,False
legalized prostitution,-0.0337909,3.1638200000000003,-0.010229272742674794,9.963524454512473,False,False
medicaid & medicare,0.347061,2.419905,0.8478116173084516,3.6153879515025245,False,False
medical marijuana,-0.083073,3.2218,-2.313559849898766,21.38653117322059,False,False
military intervention,0.391303,2.578516,0.7358969083077247,4.018479778760211,False,False
minimum wage,0.368886,1.3997870000000001,0.5308274893787258,1.4978220921952297,False,False
national health care,0.615647,2.116977,1.1222148404312227,2.9334155722705555,False,False
occupy movement,0.359657,1.811655,0.34807066555911625,2.2022013910467497,False,False
progressive tax,-0.0979746,3.34716,-2.9054593742260666,25.256930286401598,False,False
racial profiling,0.0120739,2.55702,0.3311865782401588,4.3780412853469794,False,False
redistribution,-0.322563,1.735767,-0.5358522530041661,2.0166289365219376,False,False
smoking ban,0.00219706,2.87563,-0.5918096075045295,5.71635622317126,False,False
social programs,0.218324,2.274213,0.47923639000762647,3.2443135654511517,False,False
social security,-0.254845,2.042411,-0.3911945974526097,2.6919686277683255,False,False
socialism,0.203907,3.2317799999999997,3.6456158716281992,15.109887359688397,False,False
stimulus spending,-0.152816,2.20004,-0.5225868770330038,2.7288644973787073,False,False
term limits,0.126986,3.12228,1.7346012957506693,12.53261557320183,False,False
torture,-0.832469,2.778264,-3.365630753193799,6.089943872572831,False,True
united nations,0.935071,2.344247,1.8682335620630361,3.387763514657646,False,True
war in afghanistan,0.0676743,2.83156,0.3937845545634068,6.958786329497445,False,False
war on terror,0.0179011,3.1215,-0.4110230199485795,9.070535804523924,False,False
welfare,-0.981919,2.5906190000000002,-2.497254629595124,3.865853905943681,False,True
,1.03153,2.1152554,1.517073107643013,2.8666721659563192,False,True
