topic_idx,mean_beta_tau_D,ci_5,ci_95,topic,class
0,-0.5638052754767597,-3.923885845128211,2.7511503957286316,abortion,exposure-neutral
1,-3.6699536710194804,-13.109998608449116,5.987522767883595,affirmative action,exposure-neutral
2,-7.87366792337337,-13.793468656575795,-1.940386050739378,animal rights,exposure-moderated
3,2.9900985595341902,-2.2857189311465853,8.12665933447237,barack obama,exposure-neutral
4,-4.222289177743453,-15.335507835105155,5.977252673429217,border fence,exposure-neutral
5,3.9104054472856684,-4.250362117598797,12.154731238058403,capitalism,exposure-neutral
6,-7.862260761828715,-20.3429170647321,4.646689357786171,civil unions,exposure-neutral
7,-5.814709365285636,-10.526359911886564,-1.0851210786433592,death penalty,exposure-moderated
8,1.6647185997526512,-3.8150338971816997,7.138223268412961,drug legalization,exposure-neutral
9,-1.609109194617177,-14.260130011665165,10.724942493509722,electoral college,exposure-neutral
10,-2.500851470276419,-10.64041862671226,5.248175178786602,environmental protection,exposure-neutral
11,-25.625455900181464,-81.68552760622582,26.300874454190417,estate tax,exposure-neutral
12,7.431231969544284,-27.30264052009596,40.801638847020314,european union,exposure-neutral
13,-7.017838900891787,-18.09830218828584,3.831549972815578,euthanasia,exposure-neutral
14,-0.10382677761117164,-26.534146749046034,27.07723045983217,federal reserve,exposure-neutral
15,-43.81435169329548,-104.67248047849525,10.758624021940149,flat tax,exposure-neutral
16,3.7370165454658006,-16.490607975227647,23.668251293741307,free trade,exposure-neutral
17,1.4697266636191357,-1.8015338682849236,4.751678338905212,gay marriage,exposure-neutral
18,4.5850410954062975,-1.786452760266356,10.800204767158071,global warming exists,exposure-neutral
19,-2.805157776432175,-18.354384926008333,12.966127666956027,globalization,exposure-neutral
20,-29.335603339256842,-73.01122486808059,8.097321594972417,gold standard,exposure-neutral
21,-1.4500858472591214,-6.953004382066133,4.0120296504626385,gun rights,exposure-neutral
22,-0.507656941122609,-15.647392737315304,15.078717955929596,homeschooling,exposure-neutral
23,-8.431744998763584,-19.746466658148794,2.857629360043666,internet censorship,exposure-neutral
24,-3.626259665297164,-86.18721468627574,77.96404287491694,iran-iraq war,exposure-neutral
25,-20.341168211436532,-53.56461798243934,10.22800798553539,labor union,exposure-neutral
26,1.75228917689266,-15.434080626863826,19.579727085871,legalized prostitution,exposure-neutral
27,-29.09862542286126,-107.4500359377969,46.62029647937742,medicaid & medicare,exposure-neutral
28,3.104849072615577,-7.8184310681416465,13.550504007554384,medical marijuana,exposure-neutral
29,3.5986331716843702,-3.853571560376462,11.194878148469623,military intervention,exposure-neutral
30,2.843008545921997,-6.489223353254802,12.160982543797594,minimum wage,exposure-neutral
31,-0.6962219756294818,-7.769343886754984,6.369763144100451,national health care,exposure-neutral
32,7.291888340579493,-66.4735817415525,83.11790817210435,occupy movement,exposure-neutral
33,-32.95469938474738,-53.225801179839834,-14.34010560404182,progressive tax,exposure-moderated
34,-3.510108367994247,-10.706503984022389,3.3862113562209792,racial profiling,exposure-neutral
35,-2.865925686772475,-30.13399906023192,24.46009120169813,redistribution,exposure-neutral
36,11.177728071820763,0.44631965271568236,22.403453635406247,smoking ban,exposure-entrenched
37,-2.918916144811832,-11.590420331390826,5.880269653493658,social programs,exposure-neutral
38,13.33144161137587,-34.060664347422666,62.48809039282142,social security,exposure-neutral
39,-5.945192258843707,-18.65447932486062,7.133524192333995,socialism,exposure-neutral
40,-4.139261010543775,-75.96196363941691,67.11928965700069,stimulus spending,exposure-neutral
41,-18.747150656959544,-39.64751653172757,1.8770112156768308,term limits,exposure-neutral
42,-17.15812584954439,-38.15337638112672,2.4201407853592,torture,exposure-neutral
43,-5.1728375576525565,-33.61027011862995,22.995258235853747,united nations,exposure-neutral
44,-9.707050186820556,-39.44165831789406,19.139325597239882,war in afghanistan,exposure-neutral
45,-1.6707322981402613,-15.506551828169977,12.11579811614021,war on terror,exposure-neutral
46,-4.422824646909944,-13.003587806775705,4.106013214705677,welfare,exposure-neutral
